track_name,artist_name,track_duration_ms,popularity,artist_genres,album_name,album_release_date,track_id,album_id,artist_ids
Doomsday Blue,Bambie Thug,183741,65,,Cathexis,2023-10-13,7qiEoVlFjb3KaytT2zgK1g,70IfQDr5WnlqwK2Cb0tvco,6g3orasGcMPn0gwcE3JMAC
ZORRA,Nebulossa,183577,63,,ZORRA,2023-12-15,4ypCNolz6aRYZPO3UOGp8Z,5DyJyPd1uYQrE0iWTkhmRf,58M2tktuW3ZTnZGTddqejF
The Code,Nemo,180141,73,,The Code,2024-02-29,1EjIXKhNHI00ZLMRpS8iz8,30euLVaktPWmngBsGDUYdA,5Wg72TowYBWIcSo3K2r84N
(nendest) narkootikumidest ei tea me (küll) midagi,"5MIINUST, Puuluup",167125,58,estonian hip hop,(nendest) narkootikumidest ei tea me (küll) midagi,2023-12-08,3wdfbb4qfNmPHJRn8ILMHk,1Mc8irTlnfXUsSrpd2hpOj,"6acByqWJeuaM0TX5VoY6an, 7ifYVN4V3DErjxbHDfI0Yx"
Supermarket - Aleksey Kraft Radio Edit,"Bart & Baker, Dimie Cat, Hailey Tuck, Aleksey Kraft",227478,22,electro swing,Electro Swing VII by Bart & Baker,2014-09-22,10UglronJTOJLBRIsQ7pAK,40g8qwsEmb9k11QLtUsdO7,"1SqMdUGzBNOFB8rDdtiOxN, 0LUkZYSaO60vSGVxgZM5PI, 31xWBejhhuVdm9zRmCQuse, 5qJzsL4NGZEu2a7MeufzmK"
la noia,Angelina Mango,189124,69,italian pop,la noia,2024-02-07,49R1F3rIdSzuPk7AcHi6d1,3thPAnMavUmX8gGyjOzYFI,1A6HBLulvBFzNtlMb7b08f
Paper Love,Allie X,197673,47,"alt z, canadian electropop, canadian pop, dark pop, electropop, metropopolis",CollXtion II,2017-06-09,0lJRiK4cXdgFqpNB53yFLN,216PcZkvm5Rnt6LgctC0X9,0wnYgCeP013HkKoOyC5V32
Rim Tim Tagi Dim,Baby Lasagna,179062,70,,Rim Tim Tagi Dim,2024-01-12,5TswDbxMnxptgFTf6ZxvXQ,2avxqhpSlNfsj5yPw32L7t,1ncWEkB4AQh1rxC8ObpBoH
aquatic ambience,Scizzie,123535,57,liminal space,aquatic ambience,2022-10-15,4Nk7Mof1w4q2vk160DYEoc,1Qa7TotTQ8dfnvM6lfnSoS,53msUMObYuyAsfh4IUsO9P
The Spark,"Kabin Crew, Lisdoonvarna Crew",146384,78,,The Spark,2024-06-13,0bhnFakmRioZbuQcmhVwoH,6xNvkXuK0QL7vr9wEsCREW,"6BHou7i94KE1FpHgDVWZEK, 7BUWoquo4gsA4kREUujbSi"
Pedro,"Jaxomy, Agatino Romero, Raffaella Carrà",144846,86,,Pedro,2024-03-29,48lxT5qJF0yYyf2z4wB4xW,5y6RXjI5VPR0RyInghTbf1,"1c3uso4iIeeX3P0bhKaQDq, 124jbwgd8Hh6LW7jAqTa8r, 6EVyI0S0b1Ld2nm37m5x85"
Strangers,Kenya Grace,172964,78,singer-songwriter pop,The After Taste,2024-03-21,593knnQN4REEshx8th9zgK,4EmlLRONqsYR1rKvw079xN,7uMDnSZyUYNBPLhPMNuaM2
Brand New Dance,Eminem,206649,79,"detroit hip hop, hip hop, rap",The Death of Slim Shady (Coup De Grâce),2024-07-12,77pfjsq0gSZwO8bYVTVROo,3kjHLu1pL7tdY88GFwEkl6,7dGJo4pcD2V6oG8kP0tJRR
Reverse,Caravan Palace,242051,29,"electro swing, nu jazz",Reverse,2023-11-30,2rKk9VeO6P4mmCXrtetLoK,0zz6XbRA6JMtpbE4ZzkHCI,37J1PlAkhRK7yrZUtqaUpQ
THE DINER,Billie Eilish,186346,82,"art pop, pop",HIT ME HARD AND SOFT,2024-05-17,1LLUoftvmTjVNBHZoQyveF,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
Prada,"cassö, RAYE, D-Block Europe",132359,85,"hypertechno, pop dance",Prada,2023-08-11,59NraMJsLaMCVtwXTSia8i,5MU0RmBSpoSxOPYBfcobDc,"5wCmhq5J2hPwL2r0eKurxn, 5KKpBU5eC2tJDzf0wmlRp2, 5VadK1havLhK1OpKYsXv9y"
Luktelk,Silvester Belt,161142,63,,Luktelk,2024-01-11,5cVMsMEgeJXghVqWv7wrGl,6KE3Dun7Ey66uVoIlujVYz,2Tna85W7SvTboWMUSFilH6
No Rules!,Windows95Man,175896,59,,No Rules!,2024-01-16,4QWrK6lpr8rZ6sa8ymqMrq,3hEmkfgNvZOuCNgzmpQWK6,4iIv1KxAdDsqfwq5XjcgQm
FEMININE RAGE,PEGGY,147798,58,gen z singer-songwriter,DEAR READER,2024-04-26,08iDzwXKP72XYGnjXLSwW2,1JsRmuktjMsrdolUuZ5UMp,1E6ADXoD9nUhFEwKgwjEdh
Bad Things,Klischée,213056,22,electro swing,Bad Things,2021-02-19,74VLacRGe9O7UUKDo74mb9,7Gu6P01XdOnTdLUyjdJyMu,6qokeohfvbaNK1m0VfIEtB
mietin sua pahalla,pehmoaino,183268,42,finnish pop,mietin sua pahalla,2023-05-05,4Ac4YAaS8HkCuIX7zr8Ycu,2eMaovAMKvZa17Yx3vnVuX,4Qk8DhjJRW0Dwd039aVOfr
Love Song,Mausio,176142,31,tekk,Love Song,2023-04-07,2ekhJNuxeoQ9Q84dFtknP7,1V9nXTFcfUBCPq5hIGfoiU,5yzLRjAu6ni4Bb3fQDED2q
Kolme toivetta,KUUMAA,181649,45,"finnish dance pop, finnish pop",Kolme toivetta,2021-05-07,7od4R4bHKFDMxFIcF4Wuiz,6QQgMURAVPAhewIpFmhF67,3YC5DVJDjyazvB8hxJSybr
High Enough,K.Flay,231600,62,"escape room, hip pop, modern alternative rock",Every Where Is Some Where,2017-04-07,1D9HQactbJoUudf9B119Y5,5ddpf5pxYjw9ob4DjPLuiz,0pCNk4D3E2xtszsm6hMsWr
Tuhoaisti,KUUMAA,179253,55,"finnish dance pop, finnish pop",Pisara meressä,2024-04-18,0GAHNwEb8l7yt1ogGdDPkF,3fTUkVNp5a3EgCh9Q4NpXA,3YC5DVJDjyazvB8hxJSybr
Marty McFly,Josén Pimeä Puoli,161551,40,,Marty McFly,2019-06-14,79DcFWV0kXAupOcEopsHpy,1mFWa9CfeeP0SnEWFDtxtt,0lgBoewZAmVb5NInEJ5b0n
Eternity,"Anyma, Chris Avantgarde",186240,66,stutter house,Genesys,2023-08-11,1GBBbKOarAJ38HwIfLcOji,7rCb8j8kaVvoKE44Dxf21y,"4iBwchw0U0GZv5RfVYSMxN, 715OI7hiv58daVlEDXM47U"
The Playground (Crypto Remix),"Paper Idol, Crypto",134347,35,,The Playground (Deluxe),2023-02-10,1lcKNBpQo7Fv1FHLd0ALlO,4TAprh40Gw7byq4OpVpIDk,"6dewigIOIcG6m1XGsG4Mc3, 3hkBUDhKEiz64k5kTrd1QQ"
Feel Real Pretty,Paper Idol,183127,42,,Feel Real Pretty,2019-07-26,3RcoIYZ9HOJ8nhKLRV9c4e,6zLwTLoaEO41zOMSY64MSD,6dewigIOIcG6m1XGsG4Mc3
dumb dumb,mazie,125256,68,"modern indie pop, sped up",the rainbow cassette,2021-08-25,4qbEaaJ29p32GI8EWQmm6R,7uzmNefPoRgc5Pi9DS00CC,4adSXA1GDOxNG7Zw89YHyz
James Bond,Paper Idol,254952,38,,James Bond,2021-04-16,7sLLYf3BvWfjIS3YZbwBWU,6LD7Wm4nQJycDcbrrTlE03,6dewigIOIcG6m1XGsG4Mc3
A Letter,Tsundere Twintails,178105,41,sillycore,A Letter,2023-06-20,5oKtK58Tl1Mk3r7BExrYcR,5B4Q7nx9OHnr8FSJXUP5nx,4Rpi0HMTWTc9EQFdOPbRzY
Afraid of Quiet,"Lydia the Bard, Ben Tomalin",183014,52,,Afraid of Quiet,2024-05-18,2hETlIC41ua0yYcPyE5WLI,44ozYQu5laX3TgKDDTalpc,"4dYuygkzjqrehCNZMTjkNJ, 19kzH2dKYDamaNJ1e0OO4X"
UNO,Little Big,160756,53,"hard bass, russian rave",UNO,2020-03-12,1ucAgkQ4EQDCSXQ2kEk99k,60kZ537D8BGp3GNkGdY0fD,0pnd3MP2rxAzljR9AqXUJB
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",228965,89,pop,THE TORTURED POETS DEPARTMENT,2024-04-18,2OzhQlSqBEmt7hmkYxfT6m,1Mo4aZ8pdj6L1jx8zSwJnt,"06HL4z0CvFAxyc27GXpf02, 246dkjvS1zLTtiykXe5h60"
it boy,bbno$,145846,77,"canadian hip hop, dark trap, meme rap",it boy,2024-05-24,2UerDbZznc07mmGMD3WfHH,6tl4X5mM1eOnkWr7oB5LAM,41X1TR6hrK8Q2ZCpp2EqCz
Destruction,Joywave,184413,51,"indietronica, modern alternative rock, modern rock, rochester ny indie, shimmer pop",How Do You Feel Now?,2015-04-14,2iLxXSM7AOzB4RCNzk4bjd,6uSfC7gekwOjvPmTAIwgQR,1UfzhwcOR4yfX7yHTPfC9m
Poikien kyyneleet,Litku Klemetti,247906,19,"finnish indie, suomi rock",Kukkia muovipussissa,2021-03-19,6YMWObAeF1eVQ5gUTayh1M,6AMycJEgho8kPxkJTTk1Bj,3Z5GO6d7DMSBeSlNBophOR
